      4 ARO_Index
      1 gb|X54606.1|+|214-1075|ARO:3000874|TEM-2
      1 gb|X57972.1|+|339-1200|ARO:3000878|TEM-6
      1 gb|X64523.1|-|476-1337|ARO:3000875|TEM-3
      1 gb|X65252.1|+|175-1036|ARO:3000880|TEM-8
      1 gb|X65253.1|+|175-1036|ARO:3000894|TEM-24
      1 gb|X65254.1|+|175-1036|ARO:3000887|TEM-16
      1 gb|X92506.1|+|0-876|ARO:3001864|CTX-M-1
      1 gb|X95401.1|+|208-1069|ARO:3000914|TEM-45
      1 gb|X97254.1|+|153-1011|ARO:3001043|TEM-178
      1 gb|X98047.1|+|0-843|ARO:3000911|TEM-42
      1 gb|Y10278.1|+|0-876|ARO:3001866|CTX-M-3
      1 gb|Y10279.1|+|0-861|ARO:3000916|TEM-47
      1 gb|Y10280.1|+|0-861|ARO:3000917|TEM-48
      1 gb|Y10281.1|+|0-861|ARO:3000918|TEM-49
