ARO Accession	CVTERM ID
ARO:3005578	44040
ARO:3005579	44041
ARO:3005580	44042
ARO:3005581	44043
ARO:3005582	44044
ARO:3005583	44045
ARO:3002244	38644
ARO:3005584	44046
ARO:3005585	44047
ARO:3005586	44048
ARO:3005587	44049
ARO:3005588	44050
ARO:3005589	44051
ARO:3007803	46589
ARO:3007836	46623
ARO:3007837	46625
ARO:3002245	38645
ARO:3002246	38646
ARO:3002247	38647
ARO:3002248	38648
ARO:3003808	40493
ARO:3002683	39117
ARO:3004657	42696
ARO:3004658	42697
ARO:3003110	39686
ARO:3004660	42699
ARO:3002675	39109
ARO:3002676	39110
ARO:3002680	39114
ARO:3002681	39115
ARO:3002684	39118
ARO:3004656	42694
ARO:3002685	39119
ARO:3002686	39120
ARO:3002687	39121
ARO:3002688	39122
ARO:3003983	40865
ARO:3004357	41525
ARO:3000855	37235
ARO:3002999	39433
ARO:3004764	42878
ARO:3000578	36717
ARO:3007650	46427
ARO:3006904	45366
ARO:3006905	45367
ARO:3003835	40526
ARO:3003009	39443
ARO:3003010	39444
ARO:3003559	40165
ARO:3006224	44686
ARO:3006225	44687
ARO:3006226	44688
ARO:3003553	40156
ARO:3001856	38256
ARO:3004464	41680
ARO:3006906	45368
ARO:3006907	45369
ARO:3006908	45370
ARO:3006909	45371
ARO:3006910	45372
ARO:3006911	45373
ARO:3006912	45374
ARO:3006913	45375
ARO:3006914	45376
ARO:3006915	45377
ARO:3006916	45378
ARO:3006917	45379
ARO:3006918	45380
ARO:3006919	45381
ARO:3006920	45382
ARO:3006921	45383
ARO:3003441	40028
ARO:3004649	42670
ARO:3004146	41275
ARO:3005021	43212
ARO:3005023	43214
ARO:3003001	39435
ARO:3003002	39436
ARO:3003003	39437
ARO:3003005	39439
ARO:3003096	39649
ARO:3003097	39650
ARO:3004766	42880
ARO:3000841	37221
ARO:3004174	41325
ARO:3003785	40469
ARO:3003978	40814
ARO:3004132	41259
ARO:3003485	40087
ARO:3001302	37701
ARO:3000579	36718
ARO:3004768	42882
ARO:3004769	42884
ARO:3004770	42885
ARO:3004771	42886
ARO:3007840	46629
ARO:3003907	40612
ARO:3004773	42888
ARO:3002814	39248
ARO:3002815	39249
ARO:3002816	39250
ARO:3004599	42532
ARO:3004654	42686
ARO:3007637	46412
ARO:3003357	39941
ARO:3003995	40901
ARO:3004562	42469
ARO:3004561	42467
ARO:3007671	46451
ARO:3004563	42470
ARO:3004681	42730
ARO:3002674	39108
ARO:3003773	40447
ARO:3007644	46419
ARO:3007645	46421
ARO:3006922	45384
ARO:3006923	45385
ARO:3004775	42890
ARO:3006155	44617
ARO:3000783	37163
ARO:3000784	37164
ARO:3000785	37165
ARO:3000526	36665
ARO:3004777	42892
ARO:3006854	45316
ARO:3006855	45317
ARO:3006856	45318
ARO:3006857	45319
ARO:3006858	45320
